ngsamdmixgroup1	ngsadmixgroup2	Name	Location	Type	plate	PC1	PC2	PC3	PC4
0.999999999	1e-09	BARA3	BAR	A	1	0.0988947929189036	-0.0347810140553825	-0.144585055847758	0.11263823874257
0.999999999	1e-09	BARA4	BAR	A	1	0.0988627563201399	-0.0284513409204988	-0.145062211862684	0.0797152259697613
0.999999999	1e-09	BARA5	BAR	A	1	0.100874865646649	-0.0203937848615759	-0.128928144047045	0.0773728703185816
0.999999999	1e-09	BARA6	BAR	A	1	0.105233485458852	-0.0248647461370265	-0.153249256615232	0.0831697519553946
0.999999999	1e-09	BARA7	BAR	A	1	0.101765016930338	-0.0232392137236236	-0.116569268808426	0.0635161693104979
0.999999999	1e-09	BARA8	BAR	A	1	0.098621752602051	-0.0264717424434406	-0.154545400280612	0.0984279325459296
0.999999999	1e-09	BARA9	BAR	A	1	0.0953035465627704	-0.0284762300604294	-0.162718391706991	0.107328927529825
0.454008279870905	0.545991720129095	BARH1	BAR	H	1	0.00163755311416244	-0.0391860844324016	-0.124215720754713	0.0113489326012723
0.567407143623202	0.432592856376799	BARH2	BAR	H	1	0.00772831410388903	-0.0416180352944743	-0.0475968928091019	-0.0221765067265673
0.543285074262951	0.456714925737049	BARH3	BAR	H	1	0.00593352251088035	-0.0389914883427001	-0.123916625866473	0.00782271655352556
0.357182298756224	0.642817701243775	BARH4	BAR	H	1	-0.0214567817039066	-0.0606674962568445	-0.0939009234252976	0.00010773061209935
0.565247842863313	0.434752157136687	BARH5	BAR	H	1	0.00771732709075696	-0.0558562398770927	-0.151092498395276	0.0122032369369999
0.626087792822595	0.373912207177405	BARH6	BAR	H	1	0.00986693995404187	-0.0499965681533405	-0.13769247627311	0.0629375611091993
0.600666222613828	0.399333777386172	BARH7	BAR	H	1	0.0096140721558411	-0.0400073644278775	-0.0918416703079489	0.0353407993081082
0.58341498126693	0.41658501873307	BARH8	BAR	H	1	0.0051615041342041	-0.0433275157778192	-0.0253295952605801	-0.0321147694799459
0.570957678976347	0.429042321023653	BARH9	BAR	H	1	0.0106929817260631	-0.0428474115044914	-0.103742213644123	0.0196091793779638
1e-09	0.999999999	BARP10	BAR	P	1	-0.0778761655074386	-0.0677471265307952	-0.0390248958698815	-0.0501065278321483
0.0281201687328989	0.971879831267101	BARP1	BAR	P	1	-0.0918556130662636	-0.0861845637524634	-0.0683982203831087	-0.0866870180915582
1e-09	0.999999999	BARP2	BAR	P	1	-0.0822213210851675	-0.0743213634883998	-0.0344818835496375	-0.0352641117172921
0.575864234442086	0.424135765557913	BARP3	BAR	P	1	0.00521900234151779	-0.0465580448511117	-0.0983666824660583	0.0117388066928483
0.0196164302764131	0.980383569723587	BARP4	BAR	P	1	-0.0777221266784006	-0.0608177120684422	-0.0657549245495833	-0.0599272583123772
0.00940925532994892	0.990590744670051	BARP5	BAR	P	1	-0.0815973809210026	-0.0727360853565939	-0.0410969742405031	-0.0693814839821455
1e-09	0.999999999	BARP6	BAR	P	1	-0.0837646851710256	-0.0701246748332627	-0.054477307448918	-0.0608478305027844
1e-09	0.999999999	BARP7	BAR	P	1	-0.0891317871170636	-0.0865003929912519	-0.067319496775922	-0.0716457596272601
1e-09	0.999999999	BARP8	BAR	P	1	-0.0860740271976354	-0.0655533730921896	-0.0624898924251875	-0.0984513609859453
1e-09	0.999999999	BARP9	BAR	P	1	-0.0838758354425683	-0.073790776925994	-0.0475528783377447	-0.0563721203599799
0.500460390593869	0.499539609406131	CATA10	CAT	A	1	0.00993967447831625	-0.0480805956359211	0.0328995952362842	-0.0914433036179008
0.455359348203391	0.544640651796609	CATA11	CAT	A	1	0.00640245393981379	-0.0308775015730999	0.0224831619030122	-0.0695968674960035
0.548503188553963	0.451496811446037	CATA1	CAT	A	1	0.00742890765210048	-0.0468484518101951	0.0521783802465605	-0.0843377046373845
0.527682621715134	0.472317378284866	CATA2	CAT	A	1	0.00505906920867502	-0.0365598106848802	0.0244927055359945	-0.079146484543451
0.323661126601538	0.676338873398462	CATA3	CAT	A	1	-0.0310669684950113	-0.0525662666598864	0.0019594620024154	-0.0919149215146474
0.444931245116838	0.555068754883162	CATA4	CAT	A	1	-0.0141536895928972	-0.0438367986419445	-0.0159673074682521	-0.108047728344521
0.467464862988059	0.532535137011941	CATA5	CAT	A	1	0.00959396260103151	-0.0301451201129084	0.010175778952281	-0.0971350247646921
0.367971841932705	0.632028158067295	CATA6	CAT	A	1	-0.00479977577603218	-0.0507142872363385	0.0189128178254759	-0.0665565944998664
0.424765199496876	0.575234800503124	CATA7	CAT	A	1	-0.00109678454192085	-0.0454530086091254	-0.00598580447095288	-0.0811464809736372
0.427451238777064	0.572548761222936	CATA8	CAT	A	1	0.00527828559350138	-0.0392724399780519	0.00524876402478939	-0.103270928396658
0.479307153824706	0.520692846175294	CATA9	CAT	A	1	0.0106303318473515	-0.0350594800591033	0.00554480538952429	-0.041936443231377
0.536659755702985	0.463340244297015	CATH1	CAT	H	1	0.00661517190133605	-0.0206118402076029	0.0349956610020973	-0.0189009735775858
0.513892077135461	0.486107922864539	CATH2	CAT	H	1	0.00105241566347602	-0.0368877119460073	0.00795597373706479	-0.0524939628688269
0.486291882585317	0.513708117414683	CATH3	CAT	H	1	0.00675402793469103	-0.0371749284806744	0.0147757393854175	-0.0869875161612355
1e-09	0.999999999	CATP10	CAT	P	1	-0.0828896223287783	-0.050570121324372	-0.00757555906781506	-0.0616177146038018
1e-09	0.999999999	CATP11	CAT	P	1	-0.0765052647815574	-0.0301085753326114	-0.034809385034953	-0.0860922186136573
1e-09	0.999999999	CATP12	CAT	P	1	-0.0834280464150971	-0.0481246190397142	-0.0254765307611352	-0.08969389859442
1e-09	0.999999999	CATP13	CAT	P	1	-0.080849732337339	-0.0534694380243711	-0.00795632481478824	-0.0839512034918127
1e-09	0.999999999	CATP14	CAT	P	1	-0.0840163054841329	-0.0597005123017894	-0.011282379727501	-0.0556552846500577
1e-09	0.999999999	CATP15	CAT	P	1	-0.0775607253440892	-0.0469904586185407	-0.0319067742411264	-0.122016626068184
1e-09	0.999999999	CATP1	CAT	P	1	-0.0861829222746293	-0.0720449178822862	-0.0335774116546008	-0.0637988628101485
1e-09	0.999999999	CATP2	CAT	P	1	-0.0877391787975653	-0.0598306751318862	-0.00898130701641506	-0.0788805941681598
1e-09	0.999999999	CATP3	CAT	P	1	-0.0882124484161633	-0.0584719878983091	-0.0423135773310965	-0.117508796566054
1e-09	0.999999999	CATP4	CAT	P	1	-0.0798721993113031	-0.0610956866958189	-0.0185832916911036	-0.0483760674840363
